method,dt,edrift,ldrift,position_error,mperiod,perr,runtime
Euler,1.0,42.917062419878164,32.34210614407761,5453681.671796025,9517.109852218642,66.25088983813453,10.81908893585205
Semi-Implicit Euler,1.0,0.0011986580634471135,2.702985491071429e-12,9018.717355399594,5724.551460581268,8.290583764249403e-05,11.421105146408081
Velocity Verlet,1.0,-1.127171307909467e-06,-4.606701078869047e-12,1344.3276095682493,5724.548995889365,3.985104176665241e-05,12.740360021591187
Euler,5.0,64.7959713613156,68.4610122242064,14872873.622394737,16701.019119318556,191.74395724171794,2.284672975540161
Semi-Implicit Euler,5.0,0.007809843298735059,1.9473121279761903e-12,38198.11420121772,5724.6653629930415,0.002072625154340924,2.21382999420166
Velocity Verlet,5.0,-2.818464789070024e-05,-4.737490699404762e-12,44362.106343983905,5724.603745928368,0.000996259325821628,2.54172682762146
Euler,10.0,71.8895969034553,88.35695005114282,22420067.93636993,22387.388616268196,291.0770534753312,1.0748217105865479
Semi-Implicit Euler,10.0,0.020094109238611043,-9.88188244047619e-13,260702.81126356078,5725.021283521706,0.008290069895547576,1.050096035003662
Velocity Verlet,10.0,-0.0001128071233058642,-1.1335100446428572e-12,178779.51731188936,5724.774827691381,0.003984823688071326,1.3005449771881104
Euler,30.0,80.76534742375209,124.86678072969836,33844263.82932602,37138.26399208254,548.7546672888217,0.34531402587890625
Semi-Implicit Euler,30.0,0.11758829714132096,5.231584821428572e-13,2998164.234768842,5728.81246443267,0.07451681412485073,0.34635281562805176
Velocity Verlet,30.0,-0.0010208079632102022,2.3251488095238096e-13,1608143.121069641,5726.598375890533,0.03583971613749832,0.41612696647644043
Euler,60.0,85.99047664888059,148.67477223337207,40441041.08180374,56448.45594556457,886.077304629524,0.17535710334777832
Semi-Implicit Euler,60.0,0.41445598112989523,-4.069010416666667e-13,10946990.671606671,5741.469616116033,0.2956199392174715,0.17711710929870605
Velocity Verlet,60.0,-0.004101122374389279,4.359654017857143e-13,6205173.265632252,5732.726858929851,0.14289593115081897,0.22832703590393066
Euler,120.0,92.65524526541763,160.24564165855975,80878635.04674062,108753.09985164367,1799.7678816091789,0.0984492301940918
Semi-Implicit Euler,120.0,0.35092933507412594,-3.4877232142857144e-13,9515210.830912793,5790.299961745067,1.1486192780911408,0.09456610679626465
Velocity Verlet,120.0,-0.013374375580041774,6.103515625e-13,13179201.629230294,5756.721574622858,0.5620507898546344,0.10970020294189453
Euler,300.0,107.23645719264756,129.85941253748513,1046630133.8639528,183626.96651761842,3107.7119058066382,0.03531813621520996
Semi-Implicit Euler,300.0,3.5446906601268897,1.0172526041666667e-13,13667048.715869984,6148.938337774385,7.413541094778804,0.03553199768066406
Velocity Verlet,300.0,0.09920549323903952,-2.0345052083333334e-13,13897153.056919463,5922.730397808132,3.461997833031763,0.043437957763671875
